node_id,x0,x1,x2,x3,x4,parent_id
253,-30.50284511,-19.65626873,6.203445094,-0.6608080751,36.62255743,30
254,-19.01131411,11.01297529,3.232906111,5.924899253,23.89758793,155
255,-30.74886127,9.652171265,-6.611729232,-2.954391561,33.08314439,5
256,-33.26063831,-35.81622475,-9.376531176,3.036627615,16.57755042,6
257,-17.8913677,-38.04392502,7.720095321,2.78198189,22.30788968,89
258,-15.7992102,-0.3429081525,1.558278607,-1.558462086,31.31557071,282
259,-32.08861174,-20.80659301,-4.360168433,-2.172777577,11.03780691,2
260,-29.80857444,5.568385755,-7.169456795,-1.880254385,32.89562978,5
261,14.01459321,-15.89456551,-5.184671955,8.380116336,31.50785069,222
262,-35.28398476,-31.91017792,1.046773102,-0.3433148672,34.98973669,4
263,-28.90410376,-4.994232885,10.73272189,7.342011809,36.79553948,46
264,-18.38673845,-17.69910248,2.643383279,0.421445158,15.68196648,259
265,20.9120604,-4.549351409,-9.756899159,-5.719483419,31.38944468,222
266,-44.51181381,-20.14624116,-4.460511463,4.289839151,32.50343041,14
267,-33.09512627,-33.49032499,-6.34888778,5.001536491,15.51170944,6
268,-15.90621135,-21.14936336,7.121448522,5.767625147,37.26004019,156
269,-14.3317744,39.53175395,6.392574846,-8.418529361,25.20718637,201
270,-10.67316493,-45.52281289,-0.001239341219,5.044170287,21.75313615,23
271,-16.10732632,-27.20483824,10.28348353,8.923902991,34.39204126,212
272,-18.65665543,-45.31181585,0.2175779106,-9.695043762,35.37105795,40
273,-9.782973565,8.405870692,-8.248458618,0.499843138,35.99402008,118
274,12.68266452,15.9909456,3.084099285,-8.124926252,31.94267333,298
275,-2.964693809,8.398293331,2.840358917,5.995199775,33.18763215,180
276,14.61770514,-46.46949256,2.708641536,-5.630511069,35.54087957,176
277,-21.21789567,-3.170369203,-4.914355621,7.521322009,32.77774538,172
278,-48.1533591,-33.83909989,5.051043026,-5.780579226,33.15729794,0
279,-33.48806881,-23.02272011,9.788111503,-1.541868264,17.59267894,21
280,-49.72931454,-22.26088763,4.021397708,10.48782741,28.83712585,203
281,2.600544064,-1.407275839,-5.09867596,-0.3696935276,37.39155533,286
282,-24.15102933,-16.30828761,-0.8037664489,-9.596961622,19.54441425,82
283,-9.020862895,-24.41715491,0.5068668943,2.880056488,20.7713589,21
284,-30.19956764,-30.11087001,2.938956315,-11.06908036,22.35559088,23
285,-5.207372245,-44.09993522,-3.02657013,-4.125149517,38.2115203,154
286,-6.866969381,-5.990636934,-7.781732233,-6.100517363,32.21757561,69
287,-19.12515218,-38.92092765,-7.521399135,6.217195676,18.85590668,267
288,-29.97583342,7.21413772,-0.3181003154,-2.165560354,19.4787355,155
289,-16.05376022,-44.02540112,-10.23108927,-2.336033796,36.26996208,134
290,-36.36874207,-13.89989288,1.648613981,-7.119611028,25.82170178,140
291,-22.64033178,3.719848606,7.030604199,0.37287534,36.74265379,258
